tweet_id,timestamp,dog_stage,retweet_count,favorite_count
892420643555336193,2017-08-01 16:23:56,"None,None,None,None",8361.0,38186.0
892177421306343426,2017-08-01 00:17:27,"None,None,None,None",6176.0,32746.0
891815181378084864,2017-07-31 00:18:03,"None,None,None,None",4086.0,24659.0
891689557279858688,2017-07-30 15:58:51,"None,None,None,None",8504.0,41508.0
891327558926688256,2017-07-29 16:00:24,"None,None,None,None",9199.0,39696.0
891087950875897856,2017-07-29 00:08:17,"None,None,None,None",3063.0,19927.0
890971913173991426,2017-07-28 16:27:12,"None,None,None,None",2029.0,11657.0
890729181411237888,2017-07-28 00:22:40,"None,None,None,None",18548.0,64409.0
890609185150312448,2017-07-27 16:25:51,"None,None,None,None",4202.0,27379.0
890240255349198849,2017-07-26 15:59:51,"doggo,None,None,None",7262.0,31425.0
890006608113172480,2017-07-26 00:31:25,"None,None,None,None",7213.0,30214.0
889880896479866881,2017-07-25 16:11:53,"None,None,None,None",4893.0,27380.0
889665388333682689,2017-07-25 01:55:32,"None,None,None,puppo",9886.0,47388.0
889638837579907072,2017-07-25 00:10:02,"None,None,None,None",4470.0,26748.0
889531135344209921,2017-07-24 17:02:04,"None,None,None,puppo",2208.0,14886.0
889278841981685760,2017-07-24 00:19:32,"None,None,None,None",5284.0,24877.0
888917238123831296,2017-07-23 00:22:39,"None,None,None,None",4419.0,28669.0
888804989199671297,2017-07-22 16:56:37,"None,None,None,None",4223.0,25179.0
888554962724278272,2017-07-22 00:23:06,"None,None,None,None",3490.0,19528.0
888078434458587136,2017-07-20 16:49:33,"None,None,None,None",3440.0,21433.0
887705289381826560,2017-07-19 16:06:48,"None,None,None,None",5300.0,29726.0
887517139158093824,2017-07-19 03:39:09,"None,None,None,None",11475.0,45578.0
887473957103951883,2017-07-19 00:47:34,"None,None,None,None",17872.0,68030.0
887343217045368832,2017-07-18 16:08:03,"None,None,None,None",10237.0,33179.0
887101392804085760,2017-07-18 00:07:08,"None,None,None,None",5867.0,30106.0
886983233522544640,2017-07-17 16:17:36,"None,None,None,None",7643.0,34635.0
886736880519319552,2017-07-16 23:58:41,"None,None,None,None",3227.0,11876.0
886680336477933568,2017-07-16 20:14:00,"None,None,None,None",4393.0,22101.0
886366144734445568,2017-07-15 23:25:31,"None,None,pupper,None",3145.0,20873.0
886258384151887873,2017-07-15 16:17:19,"None,None,None,None",6183.0,27570.0
885984800019947520,2017-07-14 22:10:11,"None,None,None,None",6685.0,32180.0
885528943205470208,2017-07-13 15:58:47,"None,None,None,None",6327.0,35447.0
885167619883638784,2017-07-12 16:03:00,"None,None,None,None",4308.0,21596.0
884925521741709313,2017-07-12 00:01:00,"None,None,None,None",17995.0,76331.0
884876753390489601,2017-07-11 20:47:12,"None,None,None,None",5557.0,27510.0
884562892145688576,2017-07-11 00:00:02,"None,None,None,None",4655.0,23948.0
884441805382717440,2017-07-10 15:58:53,"None,None,None,None",5566.0,26594.0
884162670584377345,2017-07-09 21:29:42,"doggo,None,None,None",2942.0,20067.0
883838122936631299,2017-07-09 00:00:04,"None,None,None,None",3392.0,21577.0
883482846933004288,2017-07-08 00:28:19,"None,None,None,None",9794.0,45244.0
883360690899218434,2017-07-07 16:22:55,"None,floofer,None,None",3642.0,22347.0
883117836046086144,2017-07-07 00:17:54,"None,None,None,None",6571.0,36660.0
882992080364220416,2017-07-06 15:58:11,"None,None,None,None",3864.0,23615.0
882762694511734784,2017-07-06 00:46:41,"None,None,pupper,None",4842.0,27896.0
